./findgoalandpath -ORBInitRef NameService=corbaloc:iiop:localhost:2809/NameService -robot file:///home/kanehiro/openhrp3.0/Controller/IOserver/robot/HRP2/model/HRP2main.wrl -obstacle file:///home/kanehiro/etc/iros12/build/EnvPlant.wrl 0.0 0.0 0 0 0 0 -goal file:///home/kanehiro/etc/iros12/build/arrow.wrl -goalpos 0.71 0.03 0.9 0 -1.5708 0 -ntrial 100
AnkleHeight = 0.105
NameService OK.
OK.
the number of triangles:75231
136 pairs are defined
time to construct sphere tree:16.873[ms]
#n time ngoal ncfg
0 0.163856 1 5
1 0.0443259 1 5
2 0.237718 1 4
3 0.0911521 1 3
4 0.817284 1 10
5 0.234929 1 7
6 0.223093 1 9
7 0.287906 1 8
8 0.0741709 1 4
9 0.147532 1 4
10 0.355344 1 6
11 0.240571 1 4
12 0.557745 1 10
13 0.050323 1 5
14 0.338654 1 9
15 0.076825 1 4
16 0.754176 1 8
17 0.067245 1 6
18 0.0796399 1 5
19 0.0970179 1 4
20 0.119984 1 4
21 0.0678139 1 5
22 0.343571 1 8
23 0.0484859 1 5
24 0.061099 1 4
25 0.158052 1 5
26 0.221227 1 3
27 0.108272 1 4
28 0.176911 1 6
29 0.102553 1 4
30 0.0728811 1 5
31 0.209885 1 4
32 0.247179 1 13
33 0.229557 1 10
34 0.190336 1 4
35 0.159529 1 5
36 0.0769441 1 3
37 0.095909 1 4
38 0.169421 1 5
39 0.085967 2 4
40 0.100241 1 5
41 0.443509 1 9
42 0.452421 1 9
43 0.340534 1 5
44 0.140614 1 4
45 0.571189 1 10
46 0.066198 1 5
47 0.16302 1 4
48 0.313852 1 4
49 0.215755 1 8
50 0.42473 1 9
51 0.0823691 1 4
52 0.141768 1 5
53 0.126983 1 5
54 1.05341 1 10
55 0.128319 1 5
56 0.475434 1 8
57 0.125353 1 6
58 0.359147 1 6
59 0.363704 1 5
60 0.0534979 1 5
61 0.176529 1 6
62 0.121161 1 6
63 0.343676 1 8
64 0.140407 1 5
65 0.089315 1 4
66 0.199085 1 4
67 0.346746 1 3
68 0.152841 1 3
69 0.0608271 1 5
70 0.215831 1 4
71 0.221524 1 4
72 0.222484 1 10
73 0.222436 1 6
74 0.092549 1 6
75 0.084294 1 4
76 0.737625 1 10
77 0.138908 1 5
78 0.0902251 1 4
79 0.187735 1 5
80 0.079363 1 4
81 0.17084 1 4
82 0.26092 1 5
83 0.18914 1 9
84 0.744515 1 9
85 0.0794651 1 4
86 0.358631 1 7
87 0.119034 1 3
88 0.220701 1 6
89 0.117812 1 4
90 0.300218 1 9
91 0.0812209 1 4
92 0.136291 1 4
93 0.237701 1 3
94 0.100468 1 4
95 0.633627 1 6
96 0.177789 1 4
97 0.112855 1 6
98 0.379038 1 7
99 0.0478129 1 5
total   time = 22.4188[s]
average time = 0.224188[s]
time spent in collision detection:8.05519[s](35.9306[%])
collision is checked 357157 times(0.0225536[ms/call])
profile of setter for goal:1008997 calls,998108 982902 14754 2878 
profile of setter for path:351189 calls,1919 11 
